objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237654669202817275,159.430584840074,-0.654683015019284,7.237814,0.09521819,GALAXY,19.06016,17.03767,16.01797,15.52846,15.15462,32.84181,True
1237654669202817330,159.407530683567,-0.771146921256135,7.899851,0.09658697,GALAXY,20.46934,18.19157,17.23323,16.68258,16.27769,12.28664,True
1237654606938964260,166.106634653076,5.88098313721207,5.383245,0.04320542,GALAXY,18.86098,17.91566,17.59587,17.36014,17.24053,10.67803,True
1237654606402224237,166.314050198271,5.38925888306812,3.410999,0.03155914,GALAXY,18.75962,17.05249,16.27478,15.89497,15.63342,38.82327,True
1237654606396719308,153.677117066103,4.95138946566769,7.974094,0.04526504,GALAXY,17.07419,16.0701,15.65694,15.37421,15.22871,23.23547,True
1237654605865353366,166.418365274915,5.12266236525055,8.05244,0.0519894,GALAXY,18.14386,16.80748,16.16264,15.782,15.48374,19.25165,True
1237654605865222300,166.028549106363,5.02749898090419,13.50452,0.02529279,GALAXY,17.76976,16.02427,15.23579,14.84038,14.55171,40.18488,True
1237654605865091259,165.824326448258,5.07224472669627,8.424207,0.03848149,GALAXY,17.60233,16.41157,15.90137,15.60344,15.39849,23.01017,True
1237654602644389916,166.546446253177,5.72583579968312,6.638005,0.05963952,GALAXY,19.54616,18.00622,17.27943,16.88453,16.62431,10.67923,True
1237654602644324515,166.384543385593,5.70759603570345,5.915627,0.04993612,GALAXY,19.43915,17.72188,16.85101,16.45088,16.13396,16.62942,True
1237654602644324420,166.421176958555,5.70651634470499,12.80538,0.05013314,GALAXY,17.66227,15.74167,14.86158,14.43612,14.13264,41.35144,True
1237654602107453525,166.375932762663,5.36917256766262,4.489708,0.1271252,GALAXY,20.00317,18.2315,17.24321,16.78556,16.41678,17.7953,False
1237654602107388099,166.289325524805,5.3599742465948,7.507761,0.1275833,GALAXY,18.85182,17.46872,16.66574,16.27314,15.98899,15.94339,False
1237654601570320520,165.892759489388,4.88396022031156,5.20968,0.1298466,GALAXY,20.71573,18.56596,17.46842,17.00169,16.66807,15.0947,False
1237652944240378258,339.544150726637,14.4405887606414,8.724359,0.03598876,GALAXY,18.51696,17.07081,16.31705,15.9046,15.57092,15.76169,True
1237651823245459566,214.135958586155,4.95466097250964,5.697154,0.05761838,GALAXY,18.78603,17.3358,16.57381,16.16052,15.87853,18.95962,True
1237651823245394142,214.115285203764,4.96136686216069,9.062325,0.05752193,GALAXY,18.22345,16.30947,15.43529,15.01965,14.69755,31.23094,True
